Word:awakens cos:0.31939
Word:ruckman cos:0.01258
Word:umayr cos:-0.15402
Word:nyrop cos:-0.37925
Word:kollias cos:-0.21915
Word:larabee cos:-0.07956
Word:2000cc cos:-0.21881
Word:33,438 cos:-0.13806
Word:supercarriers cos:-0.23279
Word:eurotunnel cos:-0.08870
Word:asn cos:-0.02342
Word:portables cos:-0.06173
Word:muggleton cos:-0.10355
Word:tandi cos:-0.18933
Word:headwords cos:-0.32213
Word:pozzebon cos:-0.18161
Word:buckcherry cos:-0.05722
Word:mceveety cos:-0.16487
Word:inconsolable cos:-0.03550
Word:bottome cos:-0.40278
Word:lahat cos:0.02093
Word:leinweber cos:-0.10166
Word:aena cos:-0.25818
Word:service cos:0.24859
Word:baroev cos:-0.31593
Word:charlee cos:-0.39286
Word:conceiving cos:0.07216
Word:otomo cos:-0.13220
Word:feluda cos:-0.03555
Word:henreid cos:-0.19916
Word:esera cos:-0.34529
Word:2nd cos:0.16913
Word:lecesne cos:-0.38662
Word:shimura cos:-0.19009
Word:choeng cos:-0.30402
Word:rabinow cos:-0.23267
Word:dukedoms cos:-0.26228
Word:toph cos:-0.22385
Word:3,087 cos:-0.38089
Word:kirchhof cos:-0.14342
Word:hydri cos:-0.08812
Word:quinnell cos:-0.10178
Word:somnus cos:-0.09913
Word:sour cos:0.22028
Word:akallo cos:-0.25068
Word:sanbar cos:-0.55714
Word:amamiya cos:-0.32594
Word:slonimsky cos:-0.17061
Word:17-year-old cos:0.12874
Word:sidekick cos:0.44582
Word:bernsdorff cos:-0.30945
Word:hopa cos:-0.09728
Word:orazio cos:-0.09355
Word:devol cos:-0.42758
Word:january-february cos:-0.25582
Word:belliveau cos:-0.32882
Word:semiskilled cos:-0.19203
Word:algaze cos:-0.35686
Word:irianto cos:-0.29582
Word:sarsgaard cos:0.04484
Word:natali cos:-0.16640
Word:killings cos:0.05611
Word:schultes cos:-0.14505
Word:holz cos:-0.22067
Word:quetta cos:-0.01076
Word:sulieman cos:-0.06153
Word:guterman cos:-0.09049
Word:dučić cos:-0.40873
Word:aurochs cos:0.28608
Word:speculation cos:0.13929
Word:similarities cos:0.14318
Word:worries cos:0.10938
Word:pons cos:0.00116
Word:23,100 cos:-0.21659
Word:kolyma cos:-0.16874
Word:rupe cos:-0.05868
Word:blanchard cos:0.06511
Word:describers cos:-0.11395
Word:dengler cos:-0.08367
Word:setola cos:-0.18073
Word:safety cos:0.22424
Word:chinnery cos:-0.35152
Word:1978-1979 cos:-0.24165
Word:skerritt cos:-0.00373
Word:bookout cos:-0.27038
Word:yorke cos:0.01249
Word:bapt cos:-0.31392
Word:duston cos:-0.37233
Word:delusions cos:0.03675
Word:mortlock cos:0.08168
Word:dessner cos:-0.25738
Word:dittrich cos:-0.25556
Word:niland cos:-0.21369
Word:nyambi cos:-0.44164
Word:practitioner cos:0.30640
Word:afilias cos:-0.13279
Word:bundesland cos:0.02380
Word:abelda cos:-0.37547
Word:giler cos:-0.33536
Word:furche cos:-0.16507
Word:o’connell cos:-0.17691
Word:schick cos:-0.05135
Word:bouma cos:-0.04986
Word:máv cos:-0.23685
Word:risner cos:-0.37225
Word:ohtsuka cos:-0.25826
Word:inseparable cos:0.00432
Word:hupp cos:-0.29797
Word:56.30 cos:-0.23225
Word:superfortresses cos:-0.02351
Word:mirifle cos:-0.10849
Word:one-night cos:0.00605
Word:vidricaire cos:-0.43993
Word:madeley cos:-0.23990
Word:bizilj cos:-0.18748
Word:odonkor cos:-0.22956
Word:iorg cos:-0.15101
Word:derrickson cos:-0.17928
Word:ra.one cos:0.03499
Word:erdimi cos:-0.35772
Word:delroy cos:-0.16731
Word:ers cos:-0.01392
Word:keyboardist cos:0.05863
Word:landmass cos:0.08516
Word:dagga cos:-0.11565
Word:cannadine cos:-0.45752
Word:millettia cos:0.00716
Word:selman cos:-0.13016
Word:listless cos:0.03427
Word:incorruptibility cos:-0.29694
Word:escheator cos:-0.34525
Word:hollimon cos:-0.42019
Word:jkelso@statesman.com cos:-0.00156
Word:seedeater cos:-0.04776
Word:deets cos:-0.10331
Word:koumas cos:-0.07563
Word:narter cos:-0.30188
Word:mosheh cos:-0.16760
Word:raziel cos:-0.12446
Word:aedes cos:0.45056
Word:zvarych cos:-0.30745
Word:barbaric cos:0.11997
Word:cherupuzha cos:-0.18190
Word:madia cos:-0.04078
Word:medpartners cos:0.04443
Word:emtriva cos:-0.21617
Word:43,125 cos:-0.13155
Word:moberly cos:-0.29066
Word:landraces cos:-0.01219
Word:entertainment cos:0.32443
Word:impersonally cos:-0.29176
Word:boullioun cos:-0.21063
Word:moutinho cos:-0.07704
Word:pontoppidan cos:-0.20898
Word:mascherano cos:-0.03414
Word:53.72 cos:-0.36095
Word:harston cos:-0.28784
Word:delusional cos:0.14763
Word:washingtonian cos:0.03263
