Word:deni cos:-0.46001
Word:lowin cos:-0.33664
Word:copo cos:-0.25998
Word:hisbah cos:-0.07980
Word:harddrive cos:-0.13916
Word:microraptor cos:-0.00278
Word:rull cos:-0.22092
Word:indanan cos:-0.11501
Word:rumball cos:-0.27885
Word:31.20 cos:-0.14381
Word:kikujiro cos:-0.21784
Word:stagg cos:-0.15096
Word:magnes cos:-0.23257
Word:toman cos:-0.45629
Word:hypolycaena cos:-0.03084
Word:albader cos:-0.13030
Word:pardesi cos:-0.23721
Word:84.14 cos:-0.44859
Word:allotinus cos:-0.09330
Word:marvelon cos:-0.19800
Word:corradi cos:-0.08365
Word:25-pounder cos:-0.09787
Word:120.06 cos:-0.26240
Word:mizui cos:-0.22881
Word:pretensions cos:-0.07649
Word:uteck cos:-0.17222
Word:wyong cos:-0.12426
Word:alckmin cos:-0.04384
Word:odinga cos:-0.03099
Word:szegedi cos:-0.34395
Word:prowse cos:-0.38017
Word:crèche cos:-0.11892
Word:heatter cos:-0.27614
Word:zeledon cos:-0.25001
Word:16-gigabyte cos:-0.20959
Word:fairy-tales cos:-0.24154
Word:sitchensis cos:-0.02432
Word:103-95 cos:-0.06265
Word:reaugh cos:-0.40111
Word:thomasville cos:-0.22573
Word:paixhans cos:-0.08827
Word:collette cos:-0.07670
Word:markac cos:-0.40395
Word:ogata cos:-0.10442
Word:scoggins cos:-0.28791
Word:kauper cos:-0.29169
Word:gruenenfelder cos:-0.22765
Word:inelegant cos:-0.08640
Word:bootheel cos:-0.15364
Word:niland cos:-0.26578
Word:getz cos:-0.21844
Word:5-foot-4-inch cos:-0.14939
Word:c/z cos:-0.10800
Word:sassi cos:-0.20908
Word:backpay cos:-0.23101
Word:centenario cos:-0.25341
Word:moog cos:-0.15473
Word:beeley cos:-0.08462
Word:hadler cos:-0.38076
Word:panatta cos:-0.25854
Word:ibaf cos:-0.17306
Word:studwell cos:-0.02202
Word:brimelow cos:-0.00024
Word:switched-on cos:-0.24280
Word:dolgen cos:-0.23896
Word:celaenorrhinus cos:-0.05608
Word:recordable cos:-0.10199
Word:clearasil cos:-0.12692
Word:hamanoshima cos:-0.13922
Word:hamwi cos:-0.22632
Word:106.01 cos:-0.20584
Word:removers cos:-0.06945
Word:šaper cos:-0.42067
Word:777-8705 cos:-0.05016
Word:schollander cos:-0.25441
Word:raza cos:-0.08044
Word:vetheuil cos:-0.12191
Word:edizione cos:-0.06097
Word:sawad cos:-0.29390
Word:cogill cos:-0.33245
Word:righton cos:-0.42032
Word:mouna cos:-0.16886
Word:latwp@ldc.upenn.edu cos:-0.12017
Word:bacellar cos:-0.03685
Word:nonny cos:-0.24424
Word:deann cos:-0.13584
Word:felrice cos:-0.31600
Word:weatherby cos:-0.06245
Word:dubek cos:-0.25835
Word:cybulski cos:-0.48119
Word:mauritia cos:-0.17647
Word:hirchson cos:-0.17547
Word:amati cos:-0.04990
Word:106.85 cos:-0.30193
Word:ledgard cos:-0.43301
Word:szlachecka cos:-0.30856
Word:janon cos:-0.39625
Word:2310 cos:-0.29094
Word:hortensis cos:-0.09548
Word:sapphires cos:-0.02917
Word:stability cos:-0.00515
Word:54th cos:-0.00164
Word:nordenfelt cos:-0.14939
Word:vegard cos:-0.30758
Word:sar-e cos:-0.04087
Word:stormvogels cos:-0.14205
