Word:redound cos:-0.13818
Word:3,600 cos:-0.07074
Word:swath cos:-0.04009
Word:judo cos:0.03950
Word:seawind cos:-0.07553
Word:duckbilled cos:-0.20580
Word:leroux cos:-0.11186
Word:crystallographic cos:-0.32149
Word:819,000 cos:-0.29082
Word:dongle cos:-0.09250
Word:enfranchised cos:-0.21378
Word:12-20 cos:-0.44299
Word:fenger cos:-0.25791
Word:quraysh cos:0.20253
Word:bronzewing cos:-0.26679
Word:attilan cos:-0.03305
Word:183.3 cos:-0.28151
Word:40-gigabyte cos:-0.18731
Word:122.36 cos:-0.44063
Word:tanggu cos:-0.22534
Word:orahovac cos:-0.13543
Word:norov cos:-0.23843
Word:assigns cos:-0.18021
Word:shrine cos:0.45279
Word:ananus cos:-0.21792
Word:nephew cos:0.71880
Word:eastern cos:0.39029
Word:itri cos:-0.24059
Word:20-yards cos:-0.02084
Word:lendu cos:0.03682
Word:arika cos:-0.08534
Word:litigate cos:-0.09733
Word:ir-2 cos:-0.24026
Word:malformation cos:-0.16784
Word:enfranchising cos:-0.33027
Word:patronise cos:-0.21275
Word:gunowners cos:-0.42937
Word:randallstown cos:-0.35523
Word:e-naw cos:-0.28640
Word:econmic cos:-0.56953
Word:tersk cos:-0.26965
Word:fonteyne cos:-0.14303
Word:troop cos:0.19230
Word:1:20 cos:-0.18156
Word:32,500 cos:-0.08771
Word:laughery cos:-0.41765
Word:slovenia cos:0.06630
Word:riemsdyk cos:-0.19995
Word:northshore cos:-0.35142
Word:cha-cha-cha cos:-0.24588
Word:handback cos:0.07000
Word:coping cos:-0.03618
Word:karthik cos:0.18767
Word:alvarion cos:-0.34980
Word:nikaia cos:-0.11662
Word:outworn cos:-0.18021
Word:165kg cos:-0.51234
Word:e-reader cos:-0.11003
Word:leafhoppers cos:-0.13986
Word:hoppity cos:-0.18189
Word:electrifies cos:-0.39932
Word:citified cos:-0.29575
Word:avendra cos:-0.28036
Word:lederberg cos:-0.13677
Word:araxes cos:-0.35603
Word:wlan cos:-0.22137
Word:nayau cos:0.02229
Word:snatcher cos:-0.09331
Word:sakhalin-2 cos:-0.18371
Word:tafero cos:-0.19667
Word:waititi cos:-0.40065
Word:kappe cos:-0.11577
Word:171.2 cos:-0.32200
Word:boody cos:-0.12584
Word:miis cos:-0.25721
Word:azarov cos:0.02115
Word:jet-propelled cos:-0.46265
Word:scouters cos:-0.31919
Word:3,400 cos:-0.16608
Word:haselrieder cos:0.01979
Word:sylt cos:-0.18516
Word:elik cos:-0.29135
Word:swagga cos:-0.13080
Word:penetrator cos:-0.23927
Word:copyrights cos:0.14104
Word:1,100 cos:-0.01080
Word:47,000 cos:-0.11130
Word:revile cos:-0.02717
Word:teddies cos:-0.21361
Word:prca cos:-0.15065
Word:205.1 cos:-0.37254
Word:subtest cos:-0.39620
Word:archy cos:-0.04938
Word:bancrecer cos:-0.32199
Word:garath cos:-0.33018
Word:medicom cos:-0.26340
Word:flick cos:0.20668
Word:wettest cos:0.02732
Word:recyclers cos:-0.36043
Word:murden cos:-0.28922
Word:moulds cos:-0.16611
Word:thunders cos:-0.08355
Word:motorcyclists cos:-0.17169
Word:x200 cos:-0.30808
Word:18,500 cos:-0.25708
Word:disy cos:-0.07725
Word:m.i.a. cos:-0.01851
Word:atallah cos:-0.18535
Word:maasai cos:0.16934
Word:hongxing cos:-0.26247
Word:148.7 cos:-0.26320
Word:33,000 cos:-0.08743
Word:roemer cos:0.04740
Word:pripps cos:-0.23375
Word:gamemakers cos:-0.38062
Word:fityani cos:-0.15129
Word:donnay cos:-0.23862
Word:popy cos:-0.30760
Word:kharqan cos:-0.37308
Word:23aou94 cos:-0.55477
Word:ballooning cos:-0.15157
Word:goldfinches cos:-0.31676
Word:201.1 cos:-0.30610
Word:unltd cos:-0.29330
Word:kumi cos:-0.22836
Word:quinby cos:-0.14150
Word:jian-10 cos:-0.17319
Word:gas-discharge cos:-0.12521
Word:urbanworld cos:-0.32909
Word:kapfenberg cos:-0.51218
Word:20-39 cos:-0.34374
Word:narcoterrorism cos:-0.28419
Word:surimi cos:-0.16733
Word:6,600 cos:-0.21156
Word:entreat cos:-0.08837
Word:ciak cos:-0.33633
Word:massari cos:-0.12945
Word:ribeirão cos:-0.04150
Word:lolicon cos:-0.32903
Word:unhinge cos:-0.21288
Word:amazonians cos:-0.34789
Word:dizzee cos:-0.04870
Word:houli cos:-0.19861
Word:138.2 cos:-0.38677
Word:67.26 cos:-0.41211
Word:millhone cos:-0.30071
Word:nato cos:0.22158
Word:6-cent cos:-0.31379
Word:goba cos:-0.00195
Word:annu cos:-0.13204
Word:kasoulides cos:-0.19463
Word:anastrozole cos:-0.23013
Word:counter-revolution cos:-0.12092
Word:hunkers cos:-0.32746
Word:23mm cos:-0.35956
Word:deifies cos:-0.05732
Word:southview cos:-0.40240
Word:acknowlege cos:-0.31229
Word:horrify cos:-0.11389
Word:khoo cos:-0.15661
Word:sms cos:-0.00627
Word:purveys cos:-0.33641
Word:saturna cos:-0.08639
Word:saviour cos:0.26336
Word:jabaliya cos:0.00044
Word:wlmi cos:-0.28211
Word:35c cos:-0.27556
Word:mouland cos:-0.11740
Word:108.6 cos:-0.18650
Word:ultramix cos:-0.20227
Word:moonman cos:-0.19540
Word:22,500 cos:-0.14758
Word:al-aziz cos:0.28154
Word:beans cos:0.10287
Word:repentance cos:0.15706
Word:uni-president cos:-0.01441
Word:hi-8 cos:-0.36817
Word:legalizing cos:0.04113
Word:n'tamack cos:-0.07134
Word:narmada cos:-0.04153
Word:polonez cos:-0.41445
Word:wheesung cos:-0.32269
Word:qmail cos:-0.37748
Word:temür cos:0.20566
Word:impel cos:-0.23685
Word:hnida cos:0.02120
Word:dosimeters cos:-0.31723
Word:okocim cos:-0.31361
Word:3,990 cos:-0.34333
Word:harifal cos:-0.07917
Word:r29 cos:-0.48391
Word:beatz cos:-0.11448
Word:graciano cos:-0.32646
Word:floodwater cos:-0.13373
Word:dastar cos:-0.21708
Word:wagener cos:-0.19185
Word:littlest cos:-0.11127
Word:bloomgarden cos:-0.33685
Word:popsicle cos:-0.28120
Word:denishawn cos:-0.24639
Word:nishitani cos:-0.14941
Word:khaan cos:0.00766
Word:praxiteles cos:-0.08159
Word:myoelectric cos:-0.36855
Word:9,144 cos:-0.20825
Word:cherono cos:0.25175
Word:leenz cos:-0.09829
Word:siskind cos:-0.05469
Word:clytemnestra cos:0.07082
Word:envying cos:-0.33629
Word:bhikkhus cos:-0.30311
Word:wtkk cos:-0.16076
Word:riverhounds cos:-0.25373
Word:camejo cos:0.13005
Word:5.125 cos:-0.38335
Word:maligns cos:-0.33647
Word:jinqiao cos:-0.23164
Word:secondmarket cos:-0.45685
Word:3,700 cos:-0.15110
Word:mybb cos:-0.44101
Word:r.i.a.a. cos:-0.09747
Word:3,776 cos:-0.38026
Word:soeda cos:0.03753
Word:moldova cos:0.04467
Word:jogues cos:-0.04113
Word:shakthi cos:0.01922
Word:hairatan cos:-0.25916
Word:nufarm cos:-0.29532
Word:droving cos:-0.09661
Word:school-leaving cos:-0.15292
Word:whun cos:-0.05565
Word:globalfoundries cos:-0.34226
Word:prebon cos:-0.48030
Word:velankanni cos:-0.29656
Word:peep cos:-0.04892
Word:flordia cos:-0.40793
Word:lenni-lenape cos:-0.13635
Word:cleave cos:-0.07182
Word:hy-vee cos:-0.31413
Word:tawi cos:-0.00375
Word:gediminas cos:0.12881
Word:5.375 cos:-0.27084
Word:2,600 cos:-0.09556
Word:lesioned cos:-0.40278
Word:proventus cos:-0.36651
Word:haghighi cos:-0.19326
Word:biennium cos:-0.16981
Word:ubayy cos:0.09390
Word:flw cos:-0.17831
Word:efp cos:-0.34274
Word:30.96 cos:-0.29956
Word:totters cos:-0.40263
Word:merpati cos:-0.03353
Word:jarecki cos:-0.02104
Word:firstly cos:0.36260
Word:ill-will cos:-0.17454
Word:königssee cos:-0.27671
Word:birthplace cos:0.61951
Word:admirable cos:0.05520
Word:quintupling cos:-0.50046
Word:hearten cos:-0.11096
Word:77.0 cos:-0.22865
Word:weslake cos:-0.09717
Word:fairbridge cos:-0.22443
Word:globalize cos:-0.27392
Word:unaccredited cos:-0.17708
Word:globalnet cos:-0.39593
Word:tomball cos:-0.37751
Word:unsystematic cos:-0.38471
Word:bejewelled cos:-0.36783
Word:qualifies cos:0.00360
Word:u.n.-organized cos:-0.14794
Word:kröd cos:-0.19778
Word:dodangeh cos:-0.33949
Word:fumigations cos:-0.43240
Word:star-ledger cos:-0.16976
Word:hollowness cos:-0.21758
Word:wiccans cos:-0.04240
Word:ngāi cos:0.01422
Word:wutai cos:-0.03233
Word:sanctis cos:-0.10208
Word:lindemans cos:-0.21763
