Word:declared cos:0.55194
Word:edmund cos:0.51243
Word:allegiance cos:0.55532
Word:patriarch cos:0.53401
Word:invited cos:0.52707
Word:powers cos:0.52796
Word:established cos:0.50922
Word:ordered cos:0.55100
Word:alongside cos:0.50935
Word:having cos:0.52137
Word:james cos:0.56412
Word:years cos:0.50514
Word:chose cos:0.57632
Word:eventually cos:0.56634
Word:margaret cos:0.55083
Word:richard cos:0.50541
Word:and cos:0.53069
Word:joseph cos:0.55601
Word:mary cos:0.56318
Word:since cos:0.51381
Word:referred cos:0.55124
Word:inherited cos:0.52114
Word:aragon cos:0.51368
Word:sister cos:0.52099
Word:grace cos:0.55895
Word:captain cos:0.54815
Word:half-brother cos:0.57733
Word:hrh cos:0.50195
Word:british cos:0.53245
Word:ascended cos:0.51035
Word:accompanied cos:0.57364
Word:succession cos:0.59420
Word:invasion cos:0.53801
Word:of cos:0.57457
Word:whose cos:0.56152
Word:vassal cos:0.55974
Word:bohemia cos:0.52141
Word:return cos:0.57946
Word:survived cos:0.50065
Word:date cos:0.52680
Word:lands cos:0.51016
Word:rule cos:0.58891
Word:colony cos:0.50770
Word:temple cos:0.52802
Word:legacy cos:0.50520
Word:evil cos:0.50841
Word:old cos:0.52064
Word:refer cos:0.57326
Word:part cos:0.55326
Word:end cos:0.52209
Word:letsie cos:0.56187
Word:persian cos:0.57065
Word:xi cos:0.50715
Word:kennedy cos:0.52244
Word:then cos:0.56766
Word:tsar cos:0.57729
Word:lords cos:0.51526
Word:granddaughter cos:0.56439
Word:title cos:0.57840
Word:first cos:0.56238
Word:harry cos:0.59908
Word:finally cos:0.57243
Word:conquered cos:0.53285
Word:lover cos:0.50960
Word:herod cos:0.50055
Word:she cos:0.51397
Word:warrior cos:0.52645
Word:her cos:0.53180
Word:palace cos:0.57377
Word:founder cos:0.55812
Word:monk cos:0.52791
Word:successors cos:0.55366
Word:crowned cos:0.51694
Word:prophet cos:0.55540
Word:to cos:0.57187
Word:illegitimate cos:0.53372
Word:saw cos:0.50888
Word:forced cos:0.50860
Word:now cos:0.51669
Word:power cos:0.51150
Word:again cos:0.55537
Word:solomon cos:0.52769
Word:æthelred cos:0.50468
Word:khan cos:0.54734
Word:returned cos:0.58643
Word:former cos:0.54060
Word:english cos:0.51242
Word:introduced cos:0.51109
Word:originally cos:0.55515
Word:replaced cos:0.50058
Word:blessing cos:0.57336
Word:birthplace cos:0.61951
Word:mentioned cos:0.65390
Word:eldest cos:0.68339
Word:john cos:0.66042
Word:succeeded cos:0.64592
Word:daughter cos:0.62995
Word:vii cos:0.66339
Word:descendant cos:0.60272
Word:elizabeth cos:0.65210
Word:charles cos:0.66968
Word:princess cos:0.60227
Word:heir cos:0.67322
Word:his cos:0.64671
Word:great cos:0.66808
Word:himself cos:0.63471
Word:successor cos:0.64586
Word:knight cos:0.60920
Word:augustus cos:0.60168
Word:sultan cos:0.65194
Word:william cos:0.62518
Word:named cos:0.61362
Word:later cos:0.66264
Word:became cos:0.62011
Word:latter cos:0.63561
Word:caesar cos:0.61816
Word:him cos:0.61227
Word:death cos:0.65628
Word:philip cos:0.65199
Word:hero cos:0.62927
Word:grandfather cos:0.69884
Word:god cos:0.62677
Word:soon cos:0.62139
Word:widow cos:0.60186
Word:sir cos:0.68245
Word:arthur cos:0.60100
Word:nephew cos:0.71880
Word:throne cos:0.75399
Word:elder cos:0.70868
Word:ruler cos:0.74343
Word:father cos:0.73357
Word:brother cos:0.74924
Word:uncle cos:0.76272
Word:henry cos:0.70201
Word:iv cos:0.72831
Word:iii cos:0.71843
Word:cousin cos:0.70810
Word:son cos:0.76672
Word:name cos:0.72148
Word:grandson cos:0.74043
Word:queen cos:0.78390
Word:lord cos:0.73887
Word:prince cos:0.82362
Word:king cos:1.00000
