Word:92.22 cos:-0.23692
Word:disdains cos:-0.30016
Word:likhovtseva cos:0.07383
Word:maniscalco cos:-0.03294
Word:hinders cos:-0.44581
Word:abildgaard cos:-0.34324
Word:myboto cos:-0.47772
Word:gardenhire cos:0.03525
Word:moringa cos:-0.43175
Word:178.9 cos:-0.42333
Word:blankenhorn cos:-0.15270
Word:kickstart cos:-0.34345
Word:97.72 cos:-0.04051
Word:neroli cos:-0.37427
Word:fmln cos:-0.12738
Word:re-introduction cos:-0.27034
Word:mend cos:-0.04459
Word:larrain cos:-0.24722
Word:homelands cos:-0.02918
Word:schaueble cos:-0.43332
Word:coimbra cos:-0.08860
Word:acquiescing cos:-0.49419
Word:cigarettes cos:0.10056
Word:consummating cos:-0.09857
Word:fury cos:0.38388
Word:245.3 cos:-0.38586
Word:unhooking cos:-0.49970
Word:khodaidad cos:-0.30674
Word:gaudencio cos:-0.17004
Word:952,000 cos:-0.45688
Word:mnzm cos:-0.15041
Word:99.10 cos:-0.00407
Word:diosdado cos:-0.03594
Word:nikanor cos:-0.26593
Word:dumaguete cos:-0.21589
Word:98.89 cos:-0.02516
Word:decentralize cos:-0.29744
Word:lbc cos:0.02678
Word:tricor cos:-0.39389
Word:joppatowne cos:-0.29466
Word:lasege cos:-0.23410
Word:workforces cos:-0.28271
Word:91.80 cos:-0.14553
Word:95.52 cos:-0.15856
Word:tijana cos:-0.35580
Word:metallicity cos:0.05711
Word:165kg cos:-0.37433
Word:218.6 cos:-0.52622
Word:jamalullail cos:-0.25327
Word:rearers cos:-0.39854
Word:117.81 cos:-0.23473
Word:trioxide cos:-0.25060
Word:ravitch cos:-0.04683
Word:razor-sharp cos:0.05702
Word:reissuing cos:-0.23389
Word:zubkov cos:-0.15512
Word:trishula cos:-0.00779
Word:isarescu cos:-0.35209
Word:88.71 cos:-0.41566
Word:gurpegi cos:-0.11282
Word:guárico cos:-0.26464
Word:forsaking cos:-0.27798
Word:trofimoff cos:0.01753
Word:faron cos:-0.15857
Word:67,500 cos:-0.18176
Word:seroprevalence cos:-0.47969
Word:5-foot-8-inch cos:-0.14165
Word:408.9 cos:-0.38111
Word:higher-end cos:-0.29914
Word:existential cos:0.03256
Word:sanjar cos:-0.09597
Word:kansan cos:-0.15956
Word:poirot cos:0.00207
Word:119.81 cos:-0.26030
Word:93.46 cos:-0.30222
Word:liaocheng cos:-0.33864
Word:wolski cos:-0.36360
Word:xenical cos:-0.20023
Word:chronic cos:-0.09068
Word:deerskins cos:-0.44230
Word:instate cos:-0.20720
Word:fotboll cos:-0.17532
Word:giardello cos:-0.03388
Word:oblast cos:0.00837
Word:kooti cos:0.13560
Word:distributorships cos:-0.30687
Word:cavalrymen cos:0.17493
Word:mandingos cos:-0.45550
Word:79.2 cos:-0.20016
Word:1970-1997 cos:-0.23731
Word:blackbox cos:-0.27101
Word:95.12 cos:-0.23399
Word:swooshed cos:-0.40889
Word:vopat cos:-0.19229
Word:99.27 cos:-0.01950
Word:99.09 cos:-0.01453
Word:96.96 cos:-0.05395
Word:nuthatch cos:-0.05692
Word:berghoff cos:-0.42073
Word:carli cos:-0.06850
Word:mazda2 cos:-0.35380
Word:98.17 cos:0.02826
Word:recommencing cos:-0.39029
Word:self-publishing cos:-0.17471
Word:sticked cos:-0.30320
Word:eighty-sixth cos:-0.18273
Word:weimarer cos:-0.25647
Word:detaches cos:-0.15058
Word:91.65 cos:-0.27556
Word:deets cos:0.00537
Word:actor-director cos:-0.09245
Word:dirani cos:-0.13399
Word:abkhaz cos:-0.13028
Word:gousis cos:-0.41270
Word:91.43 cos:-0.15416
Word:1.6000 cos:-0.32184
Word:hurleys cos:-0.21186
Word:76.3 cos:-0.24745
Word:tumusiime cos:-0.41240
Word:drini cos:-0.07398
Word:footware cos:-0.39874
Word:complications cos:-0.04101
Word:amusa cos:-0.57375
Word:apocalypto cos:-0.03273
Word:habgood cos:-0.15568
Word:118.8 cos:-0.25503
Word:reelzchannel cos:-0.40512
Word:well-financed cos:-0.35409
Word:molodtsov cos:-0.34538
Word:absolute cos:0.27013
Word:shangela cos:-0.44486
Word:hunkers cos:-0.23330
Word:musumba cos:-0.43270
Word:625,000 cos:-0.29134
Word:bused cos:-0.35927
Word:illiana cos:-0.40646
Word:72.3 cos:-0.27917
Word:festive cos:-0.01943
Word:cailin cos:-0.11772
Word:ebtekar cos:-0.27777
Word:245.7 cos:-0.42533
Word:vernadsky cos:-0.13977
Word:expiate cos:-0.08352
Word:95.23 cos:-0.17459
Word:cross-training cos:-0.41751
Word:97.02 cos:-0.09694
Word:re-location cos:-0.36527
Word:1.4347 cos:-0.23076
Word:restock cos:-0.22689
Word:six-wheel cos:-0.40533
Word:99.23 cos:-0.08082
Word:mourning cos:0.21003
Word:1938-45 cos:-0.10876
Word:95.15 cos:-0.25681
Word:early-mid cos:-0.26342
Word:86.19 cos:-0.33381
Word:528,000 cos:-0.43584
Word:remodelings cos:-0.49249
Word:nirupam cos:-0.19002
Word:denboba cos:-0.36753
Word:98.54 cos:0.02568
Word:1788 cos:0.15471
Word:87.6 cos:-0.18398
Word:1887 cos:0.30184
Word:hotted cos:-0.31759
Word:85.90 cos:-0.30537
Word:omniture cos:-0.15232
Word:frisinger cos:-0.20858
Word:watered-down cos:-0.23985
Word:emir cos:0.12320
Word:109.8 cos:-0.07208
Word:risking cos:-0.00438
Word:slackens cos:-0.41938
Word:munches cos:-0.24412
Word:160.3 cos:-0.40536
Word:46.9 cos:-0.23393
Word:135.8 cos:-0.38433
Word:modernize cos:-0.15885
Word:126.98 cos:-0.25837
Word:transfering cos:-0.26412
Word:80.4 cos:-0.24402
Word:rasping cos:-0.13484
Word:gambol cos:-0.45214
Word:disallows cos:-0.39204
Word:93.80 cos:-0.15895
Word:châteauneuf-du-pape cos:-0.26154
Word:cascadden cos:-0.18209
Word:95.75 cos:-0.16917
Word:belur cos:-0.17279
Word:92.67 cos:-0.26661
Word:carbofuran cos:-0.61574
Word:nmac cos:-0.46947
Word:school-leaving cos:-0.09800
Word:169.7 cos:-0.35684
Word:snowplowing cos:-0.46671
Word:inter-state cos:-0.18297
Word:merops cos:-0.16046
